Gemeente,Gemiddelde verkoopprijs,Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,id
Uitgeest,"337,0",450,Uitgeest,27,Noord-Holland,97
Renswoude,"336,9",339,Renswoude,26,Utrecht,98
Bergeijk,"335,6",1724,Bergeijk,30,Noord-Brabant,99
Bladel,"334,3",1728,Bladel,30,Noord-Brabant,100
Asten,"334,2",743,Asten,30,Noord-Brabant,101
Baarle-Nassau,"334,1",744,Baarle-Nassau,30,Noord-Brabant,102
s-Hertogenbosch,"333,2",796,'s-Hertogenbosch,30,Noord-Brabant,103
Veere,"332,8",717,Veere,29,Zeeland,104
Heusden,"330,9",797,Heusden,30,Noord-Brabant,105
Bodegraven-Reeuwijk,"330,1",1901,Bodegraven-Reeuwijk,28,Zuid-Holland,106
Hillegom,"329,8",534,Hillegom,28,Zuid-Holland,107
Wijk bij Duurstede,"329,0",352,Wijk bij Duurstede,26,Utrecht,108
Bernheze,"327,8",1721,Bernheze,30,Noord-Brabant,109
Heerde,"327,5",246,Heerde,25,Gelderland,110
Terschelling,"327,5",93,Terschelling,21,Friesland,111
Nunspeet,"326,6",302,Nunspeet,25,Gelderland,112
Bunschoten,"326,4",313,Bunschoten,26,Utrecht,113
Meierijstad,"326,4",1948,Meierijstad,30,Noord-Brabant,114
Westland,"326,3",1783,Westland,28,Zuid-Holland,115
Edam-Volendam,"326,3",385,Edam-Volendam,27,Noord-Holland,116
Leiderdorp,"325,7",547,Leiderdorp,28,Zuid-Holland,117
Landerd,"325,4",1685,Landerd,30,Noord-Brabant,118
Buren,"324,9",214,Buren,25,Gelderland,119
s-Gravenhage,"324,8",518,'s-Gravenhage,28,Zuid-Holland,120
Zuidplas,"323,9",1892,Zuidplas,28,Zuid-Holland,121
Eersel,"322,5",770,Eersel,30,Noord-Brabant,122
Eijsden-Margraten,"322,2",1903,Eijsden-Margraten,31,Limburg,123
Texel,"321,7",448,Texel,27,Noord-Holland,124
Harderwijk,"321,6",243,Harderwijk,25,Gelderland,125
Ameland,"321,2",60,Ameland,21,Friesland,126
Sint Anthonis,"319,9",1702,Sint Anthonis,30,Noord-Brabant,127
Scherpenzeel,"319,8",279,Scherpenzeel,25,Gelderland,128
Hendrik-Ido-Ambacht,"319,5",531,Hendrik-Ido-Ambacht,28,Zuid-Holland,129
Maasdriel,"318,2",263,Maasdriel,25,Gelderland,130
Heemskerk,"318,1",396,Heemskerk,27,Noord-Holland,131
Someren,"318,0",847,Someren,30,Noord-Brabant,132
Tubbergen,"317,5",183,Tubbergen,23,Overijssel,133
Overbetuwe,"317,0",1734,Overbetuwe,25,Gelderland,134
Drechterland,"316,5",498,Drechterland,27,Noord-Holland,135
Boekel,"315,9",755,Boekel,30,Noord-Brabant,136
Brummen,"314,1",213,Brummen,25,Gelderland,137
Laarbeek,"314,1",1659,Laarbeek,30,Noord-Brabant,138
Zundert,"313,7",879,Zundert,30,Noord-Brabant,139
