"Gemeente","statcode","Gemiddelde verkoopprijs"
"Vlaardingen","GM0622","231,4"
"Voorschoten","GM0626","426,9"
"Waddinxveen","GM0627","272,0"
"Wassenaar","GM0629","711,3"
"Woerden","GM0632","364,3"
"Zoetermeer","GM0637","289,0"
"Zoeterwoude","GM0638","306,3"
"Zwijndrecht","GM0642","252,2"
"Borsele","GM0654","241,4"
"Goes","GM0664","268,7"
"West Maas en Waal","GM0668","308,4"
"Hulst","GM0677","225,3"
"Kapelle","GM0678","260,6"
"Middelburg (Z.)","GM0687","258,0"
"Reimerswaal","GM0703","217,4"
"Terneuzen","GM0715","201,6"
"Tholen","GM0716","232,9"
"Veere","GM0717","332,8"
"Vlissingen","GM0718","197,4"
"De Ronde Venen","GM0736","444,9"
"Tytsjerksteradiel","GM0737","235,6"
"Asten","GM0743","334,2"
"Baarle-Nassau","GM0744","334,1"
"Bergen op Zoom","GM0748","255,7"
"Best","GM0753","341,0"
"Boekel","GM0755","315,9"
"Boxmeer","GM0756","293,7"
"Boxtel","GM0757","337,6"
"Breda","GM0758","350,0"
"Deurne","GM0762","298,0"
"Pekela","GM0765","161,3"
"Dongen","GM0766","289,7"
"Eersel","GM0770","322,5"
"Eindhoven","GM0772","308,8"
"Etten-Leur","GM0777","300,6"
"Geertruidenberg","GM0779","259,4"
"Gilze en Rijen","GM0784","304,9"
"Goirle","GM0785","339,2"
"Grave","GM0786","269,8"
"Haaren","GM0788","396,2"
"Helmond","GM0794","286,8"
"s-Hertogenbosch","GM0796","333,2"
"Heusden","GM0797","330,9"
"Hilvarenbeek","GM0798","362,6"
"Loon op Zand","GM0809","306,8"
"Mill en Sint Hubert","GM0815","312,4"
"Nuenen, Gerwen en Nederwetten","GM0820","375,5"
"Oirschot","GM0823","366,3"
"Oisterwijk","GM0824","415,8"
"Oosterhout","GM0826","307,4"
"Oss","GM0828","264,8"
"Rucphen","GM0840","290,1"
"Sint-Michielsgestel","GM0845","392,0"
"Someren","GM0847","318,0"
"Son en Breugel","GM0848","400,3"
"Steenbergen","GM0851","250,8"
"Waterland","GM0852","424,2"
"Tilburg","GM0855","265,3"
"Uden","GM0856","304,3"
"Valkenswaard","GM0858","302,2"
"Veldhoven","GM0861","351,7"
"Vught","GM0865","449,6"
"Waalre","GM0866","434,3"
"Waalwijk","GM0867","289,6"
"Woensdrecht","GM0873","282,4"
"Zundert","GM0879","313,7"
"Wormerland","GM0880","349,7"
"Landgraaf","GM0882","208,8"
"Beek (L.)","GM0888","231,4"
"Beesel","GM0889","233,4"
"Bergen (L.)","GM0893","240,0"
"Brunssum","GM0899","174,2"
"Gennep","GM0907","270,2"
"Heerlen","GM0917","182,3"
"Kerkrade","GM0928","181,7"
"Maastricht","GM0935","283,5"
"Meerssen","GM0938","300,2"
"Mook en Middelaar","GM0944","339,0"
"Nederweert","GM0946","283,7"
"Roermond","GM0957","251,2"
"Simpelveld","GM0965","227,4"
"Stein (L)","GM0971","236,2"
"Vaals","GM0981","228,7"
"Venlo","GM0983","245,6"
"Venray","GM0984","258,4"
"Voerendaal","GM0986","274,7"
"Weert","GM0988","275,5"
"Valkenburg a/d Geul","GM0994","275,7"
"Lelystad","GM0995","242,9"
"Horst aan de Maas","GM1507","270,2"
"Oude IJsselstreek","GM1509","247,0"
"Teylingen","GM1525","395,3"
"Utrechtse Heuvelrug","GM1581","442,8"
"Oost Gelre","GM1586","258,2"
"Koggenland","GM1598","277,5"
"Lansingerland","GM1621","396,0"
"Leudal","GM1640","256,0"
"Maasgouw","GM1641","254,9"
"Gemert-Bakel","GM1652","305,3"
"Halderberge","GM1655","304,2"
"Heeze-Leende","GM1658","353,3"
"Laarbeek","GM1659","314,1"
"Reusel-De Mierden","GM1667","338,7"
"Roerdalen","GM1669","242,1"
"Roosendaal","GM1674","257,3"
"Schouwen-Duiveland","GM1676","303,2"
"Aa en Hunze","GM1680","284,8"
"Borger-Odoorn","GM1681","233,7"
"Cuijk","GM1684","282,0"
"Landerd","GM1685","325,4"
"De Wolden","GM1690","290,8"
"Noord-Beveland","GM1695","238,1"
"Wijdemeren","GM1696","431,8"
"Noordenveld","GM1699","292,8"
"Twenterand","GM1700","249,0"
"Westerveld","GM1701","279,5"
"Sint Anthonis","GM1702","319,9"
"Lingewaard","GM1705","290,2"
"Cranendonck","GM1706","283,7"
"Steenwijkerland","GM1708","250,4"
"Moerdijk","GM1709","272,9"
"Echt-Susteren","GM1711","241,3"
"Sluis","GM1714","246,4"
"Drimmelen","GM1719","289,6"
"Bernheze","GM1721","327,8"
"Alphen-Chaam","GM1723","347,8"
"Bergeijk","GM1724","335,6"
"Bladel","GM1728","334,3"
"Gulpen-Wittem","GM1729","266,6"
"Tynaarlo","GM1730","309,8"
"Midden-Drenthe","GM1731","261,2"
"Overbetuwe","GM1734","317,0"
"Hof van Twente","GM1735","274,7"
"Neder-Betuwe","GM1740","309,0"
"Rijssen-Holten","GM1742","287,3"
"Geldrop-Mierlo","GM1771","298,9"
"Olst-Wijhe","GM1773","307,8"
"Dinkelland","GM1774","279,2"
"Westland","GM1783","326,3"
"Midden-Delfland","GM1842","399,6"
"Berkelland","GM1859","265,9"
"Bronckhorst","GM1876","312,7"
"Sittard-Geleen","GM1883","218,2"
"Kaag en Braassem","GM1884","363,5"
"Dantumadiel","GM1891","234,2"
"Zuidplas","GM1892","323,9"
"Peel en Maas","GM1894","279,7"
"Oldambt","GM1895","175,8"
"Zwartewaterland","GM1896","241,2"
"Súdwest Fryslân","GM1900","225,7"
"Bodegraven-Reeuwijk","GM1901","330,1"
"Eijsden-Margraten","GM1903","322,2"
"Stichtse Vecht","GM1904","383,9"
"Hollands Kroon","GM1911","257,5"
"Leidschendam-Voorburg","GM1916","340,4"
"Goeree-Overflakkee","GM1924","274,6"
"Pijnacker-Nootdorp","GM1926","375,9"
"Nissewaard","GM1930","237,8"
"Krimpenerwaard","GM1931","312,8"
"De Fryske Marren","GM1940","268,8"
"Gooise Meren","GM1942","510,2"
"Berg en Dal","GM1945","292,8"
"Meierijstad","GM1948","326,4"
"Waadhoeke","GM1949","209,1"
"Westerwolde","GM1950","210,2"
"Midden-Groningen","GM1952","206,7"
"Beekdaelen","GM1954","248,9"
"Montferland","GM1955","277,4"
"Altena","GM1959","291,4"
"West Betuwe","GM1960","341,3"
"Vijfheerenlanden","GM1961","304,0"
"Hoeksche Waard","GM1963","297,3"
"Het Hogeland","GM1966","188,8"
"Westerkwartier","GM1969","240,8"
"Noardeast-Fryslân","GM1970","194,8"
"Molenlanden","GM1978","302,0"
